"Title:","Average Weekly Earnings of All Employees from the State and Metro Area Employment, Hours, and Earnings Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","01/2007 - 09/2022"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"02/2009",699.42,819.39,661.64,753.48,844.56,614.56,749.2,880.27,689.41,256.53,493.28,869.36,1002.74,842.63,841.82,1003.92,738.14,1215.03,1153.42,1122.2,872.1,377.41,631.58,758.8,879.26,742.44,850.25,904.55,669.71,998.15,850.87,812.18,392.2,696.62,877.54,941.69,868.56,1096.2,860.51,726.91,1219.74,1294.24,1208.8,738.14,480.6,647.49,704.14,745.61,692.34,764.78,741.64,686.55,974.4,962.69,945.48,667.83,313.88,486.33,609.61,767.91,577.22,663.48,700.56,636.03,683.5,721.05,589.57,217.78,325.04,758.64,905.2,722.4,776.34,893.14,1062.6,978.18,918.92,766.06,317.97,562.13,747.32,805.53,734.16,848.7,787.36,614.25,905.34,869.8,365.75,621.76,920.05,543.12,1173.05,993.46,815.11,832.91,529.92,606.4,702.8,642.64,280.21,531.72
"03/2009",686.91,818.75,644.9,746.96,841.69,617.71,749.57,883.8,674.1,256.28,493.96,875.52,1045.01,840.34,946.79,1015.5,729.41,1181.65,1132.37,1158.84,861.9,372.45,647.59,753.84,894.74,734.1,853.16,937.46,671.3,994.36,849.07,820.03,394.24,713.07,869.67,956.08,856.14,1108.6,866.85,725.56,1185.71,1287.23,1185.9,728.74,472.74,645.98,697.93,748.13,684.41,763.9,744.58,687.37,994.05,947.5,943.24,660.01,290.41,474.33,600.33,769.04,565.47,666.54,702.1,622.61,648.52,740.26,586.52,218.53,334.93,750.48,885.62,717.93,755.28,900.15,1046.9,958.99,921.2,773.28,319.68,561.08,753.75,802.63,742.92,838.24,785.51,618.1,931.39,858.38,345.78,622.78,923.1,543.12,1179.07,1002.78,837.93,819.23,533.03,605.75,709.42,638.83,284.58,540.6
"04/2009",684.86,819.62,642.87,741.44,844.17,610.33,747.66,893.05,672.83,258.05,497.18,857.33,1023.1,823.86,903.56,1001.63,725.58,1188,1091.07,1124.29,847.82,364.03,647.05,743.68,862.22,728.25,836.86,906.38,651.8,1015.2,853.05,816.82,412.37,703.04,855.26,943.8,842.73,1085.99,863.33,723.41,1154.97,1262.54,1144.22,728.2,466.13,638.72,692.5,745.34,676.78,767.81,734.7,657.32,957.6,928.88,958,653.95,311.39,478.47,598.14,796.39,557.49,693.31,730.55,615.33,633.72,737.75,587.33,217.92,340.11,742.7,894.96,706.14,770.28,909.83,1034.25,956.6,920.59,760.9,308.73,554.04,752.18,768.98,748,820.21,751.87,609.87,932.96,848.86,362.47,621.98,925.11,542.75,1188.45,1008.91,843.15,820.81,530.79,609.94,716.39,634.46,291.02,534.99
"05/2009",681.16,809.76,643.2,735.54,839.24,615.65,756.23,886.62,674.24,262.39,493.89,849.24,1034.35,814.92,937.02,1012.69,722.8,1208.9,1090.58,1083.81,844.35,364.65,639.54,749.52,872.11,732.22,835.58,907.5,658.56,1015.13,852.51,818.6,405.39,703.09,854.63,963.85,838.96,1103.28,875.77,720.71,1178.36,1256.89,1134.13,729.86,476.58,648.72,688.51,756.2,670.68,775.28,746.81,654.63,963.97,930.67,941.29,656.34,307.97,475.02,606.74,823.52,560.59,776.39,730.8,635.58,637.96,716.42,581.03,224.08,364.15,745.5,919.35,704.33,796.73,924.22,1030.97,937.3,908.6,760.9,304.55,552.77,758.04,818.06,742.48,868.04,776.5,617.77,912.72,839.75,374.44,616.71,919.1,540.22,1169.97,1004.5,861.41,809.42,526.18,613.17,715.64,634.34,291.07,522.66
"06/2009",679.35,819.67,638.48,741.44,835.15,624.88,756.08,894.8,669.54,271.54,475.86,847.55,1048.7,809.83,966.54,1014.21,706.55,1223.57,1081.74,1079.08,844.16,368.42,640.71,744.02,864.77,727.5,843.12,906.69,647.85,1007.68,868.63,829.9,392.51,698.98,860.5,967.88,846.7,1101.2,879.37,723.32,1202.43,1264.9,1151,728.97,495,651.06,691.55,763.78,674.6,777.6,752.29,674.57,955.64,932.91,939.75,651.4,307.76,460.67,613.93,847.48,562.69,828.26,734.45,663.45,639.74,718.98,587.72,224.25,389,746.23,923.24,704.39,805.35,928.98,1029.48,940.21,915.2,752.38,305.37,558.11,765.05,799.99,755.84,882.39,785.85,621.81,948.64,838.1,404.29,615,932.93,535.95,1202.71,1021.52,865.87,822.19,522.81,612.81,702.47,628.25,296.38,522.66
"07/2009",672.28,816.18,629.92,739.64,837.21,618.19,747.27,885.89,671.14,265.93,485.15,847.06,1033.5,809.83,993.47,987.16,713.1,1202.21,1120.45,1074.16,837.67,370.24,639.6,757.4,894.31,739.34,857.86,908.26,660.85,1020,880.07,833.75,397.62,694.85,861.71,983.6,847.49,1137.53,874.95,723.86,1210.38,1261.6,1146.65,733.39,492.14,635.99,689.52,767.42,670.58,769.62,755.02,667.12,964.25,933.48,932.74,650.44,308.03,466.46,620.1,832.37,572.88,835.12,722.19,656.85,650.45,731.81,601.83,233.89,385.14,748.65,930,707.03,820.11,911.03,1026.01,951.95,905.63,759.42,304.55,568.16,766.26,803.25,756.43,885.97,779.04,617.86,945.31,835.33,406.91,622.04,928.93,545.82,1185.05,1025.71,895,806.52,519.1,611.38,701.18,629.96,297.83,512.07
"08/2009",687.26,822.16,646.26,742.68,841.72,625.61,761.02,890.16,688.69,270.07,487.65,868.87,1048.32,832.33,1011.88,1006.99,702.74,1211.33,1172.63,1126.4,862.73,390.23,660.63,767.36,903.99,749.52,861.7,931.76,672.7,1053.86,887.8,828.61,397.29,692.24,877.05,994.52,861.5,1138.43,888.56,738.38,1227.69,1301.26,1172.29,727.87,497.07,663.35,695.98,770.13,676.99,764.56,763.22,678.13,970.87,938.24,941.15,649.28,311.32,471.71,639.49,858.1,588.75,866.48,741.49,708.22,707.63,759.24,601.93,245.49,394.79,762.19,933.5,722.7,810.08,928.98,1024.16,965.96,928.93,763.7,310.5,570.83,777.92,819.07,766.7,877.4,799.62,635.71,956.17,840.66,405.42,627.72,954.3,546.48,1244.7,1062.44,914.21,814.05,521.21,605.16,711.36,622.78,298.81,532.22
"09/2009",680.24,818.32,638.94,739.23,833.94,618.92,761.89,882,681.12,267.28,476.25,850.15,1010.83,819.14,992.33,997.83,708.41,1204.88,1139.36,1104.09,843.72,372.83,632.06,758.86,906.91,738.91,872.14,922.32,670.06,1016.8,876.8,823.33,395.04,703.49,869.8,989.89,852.91,1118.66,899.28,733.15,1208.87,1277.33,1146.31,735.81,503.04,665.55,695.97,767.75,677.54,762.29,766.36,679.7,961.8,926.5,938.81,649.8,310.73,472.3,624.99,812.62,581.03,783.17,742.69,704.49,649.79,727.65,610.62,226.3,380.8,748.2,909.72,710.3,810.57,923.93,1018.44,944.94,904.59,760.38,302.77,565.15,772.09,803.01,765.14,837.37,796.79,633.03,960.88,851.49,402.96,631.19,937.26,554.76,1224.46,1041.22,889.92,806.78,521.73,600.97,697.05,637.56,291.73,530.93
"10/2009",681.62,824.68,638.69,741.28,837.62,615.4,758.84,882.36,683.79,270.89,479.41,865.75,1024.14,837.97,1008.7,1011.53,775.01,1228.84,1128.53,1098.6,847.6,372.97,628.45,756.28,931.52,733.15,910.61,934.63,662.94,1012.83,868.85,817.13,398.75,714.83,868.11,993.77,852.24,1125.72,897.82,730.55,1210.04,1283.38,1164.38,727.09,489.78,665.28,701.1,763.12,683.99,750.53,763.21,685.53,997.92,918.63,946.04,654.52,312.18,473.48,618.54,827.4,571.16,811.56,743.15,704.85,648.44,719.36,604.3,223.5,375.53,753.6,933.12,710.81,834.12,931,1003.33,955.08,906.32,757.28,314.36,582.71,791.09,829.06,782.54,875.09,822.49,635.03,980.06,840.1,415.8,632.23,936.03,555.75,1213.19,1043.7,905.74,797.57,531.8,608.4,689.95,641.36,283.7,532.59
"11/2009",693.11,835.74,650.5,738.25,840.89,617.57,768.71,887.7,689.39,271.63,481.47,883.57,1051.13,849.74,1021.72,1045.66,742.59,1203.76,1175.34,1149.06,871.07,390.69,653.01,771.72,942.84,749.78,880.68,977.16,684.25,1042.15,875.69,820.02,411.27,730.11,883.66,1005.84,868.66,1149.26,902.85,735.74,1247.93,1322.87,1194.69,733.01,499.06,674.86,708.22,767.31,693.86,742.22,775.34,676.3,1040.71,962.14,977.47,657.09,310.33,478.34,629.21,841.81,582.77,857.22,734.63,707.48,693.26,757.01,610.04,225.91,382.4,779.01,966.42,735.47,824.46,948.66,1008.69,973.06,930.81,769.12,314.82,584.58,797.05,812.16,792.29,867.79,807.37,630.47,980.43,872.48,398.5,644.16,956.16,566.16,1241.54,1068.78,926,810.77,528.69,613.7,708.1,647.5,281.79,542.43
"01/2010",689.92,837.25,647.07,739.95,845.41,621.09,762.38,879.55,683,272.69,477.6,884.4,1035.09,858.36,1015.58,1032.55,808.19,1242.5,1139.36,1129.52,851.42,379.65,657.59,757.21,924.46,737.38,863.6,990.07,681.29,988.87,831.96,828.77,422.86,717.09,876.96,997.9,861.92,1165.64,899.71,729.27,1191.26,1285.39,1203.7,732.1,494.59,674.52,701.4,781.7,679.56,738.91,805.15,684.04,1001.46,919.84,929.28,647.89,297.98,480.84,610.35,774.53,578.43,661.64,729.51,686.81,678.6,737.73,616.46,219.52,382.76,747.98,923.4,708.51,781.55,936.49,1002.02,966.22,901.14,754.52,309.16,572.22,771.84,820.13,762.89,863.6,818.06,648.74,963.85,866.58,373.2,637.56,933.25,566.61,1253.26,1065.55,880.87,777.22,539.24,621.64,729.79,643.99,279.31,522.5
"02/2010",693.91,843.72,649.63,755.46,841.72,623.17,767.5,884.16,681.03,278.64,478.8,882.34,1005.52,861.3,907.4,1011.92,812.19,1259.9,1102.94,1138.37,852.77,388.02,652.39,767.54,897.88,751.1,857.74,940.51,689.01,1027.94,842.27,828.84,438.37,715.75,875.02,973.19,862.26,1096.84,906.02,733.26,1205.79,1312.39,1186.39,728.98,487.24,679.21,705.18,779.98,686.23,741.19,801.33,684.25,1038.73,948.7,936.65,644.59,306.13,494.8,615.05,755.7,587.33,655.34,719.07,676,701.06,730.88,637.67,230.22,384.37,749.35,893.1,716.78,774.58,909.84,990.22,971.04,908.16,758.31,320.78,565.49,772.07,854.58,755.38,857.7,858.06,635.01,972.55,867.56,375.79,641.07,909.6,576.41,1220.71,1026.27,824.1,776,568.87,621.72,729.46,644.31,281.42,538.27
"03/2010",694.26,840.01,652.58,762.16,845,620.73,771.21,888.06,684.98,278.1,478.17,880.99,1033.36,854.41,953.68,1021.44,804.27,1277.68,1088.9,1137.76,843.68,383.5,639.89,762.54,912.68,743.37,852.77,971.72,683.52,1005.38,838.24,828.14,442.56,707.77,877.89,1006.97,861.87,1167.08,911.8,736.16,1206.44,1314.75,1186.05,724.46,487.06,682.66,702.16,777.37,684.94,746.56,795.88,692.52,1012.97,931.74,940.7,638.44,302.98,476.47,612.72,786.41,578.28,693.7,736.28,681.05,668.27,736.96,631.68,231.57,361.13,760.77,925.34,722.43,793.73,914.13,1006.11,972.29,919.62,747.13,318.66,588.86,764.61,844.03,748.71,874.21,859.32,637.63,972.92,865.93,366.23,641.83,920.4,575.36,1230.96,1042.86,864.47,771,574.82,604.28,740.42,647.16,287.5,537.42
"04/2010",697.9,841.1,656.81,768.17,845.42,626.59,766.91,886.81,691.38,281.25,482.46,889.34,1062.76,858.33,909.2,1024.87,805.39,1288.44,1095.28,1152.69,854.59,382.1,634.1,769.7,898.07,753.63,871.29,958.89,702.95,998.68,867.41,833.54,422.33,702.26,883.19,1013.46,867.47,1166.76,916.1,745.1,1216.78,1319.65,1196.77,729.3,486.13,688.25,704.78,798.69,683.3,783.84,810.43,680.94,1018.94,936.58,936.24,645.86,308.09,487.13,643.28,814.09,607.49,712.08,751.71,700.65,690.36,741.89,661.13,228.27,391.39,764.69,929.27,727.61,799.4,934.96,1004.19,965.03,932.44,754.6,322.22,578.33,790.58,846.37,777.43,860.52,866.35,644.83,983.97,867.53,396.93,654.02,939.98,584.7,1213.03,1060.42,923.47,786.35,600.05,610.37,724.72,649.37,283.32,551.1
"05/2010",706.45,855.67,663.59,772.53,847.89,637.26,767.75,887.68,692.3,282.28,485.81,913.09,1091.76,879.03,938.81,1054.19,828.01,1328.6,1174.24,1176.03,861.62,396.36,637.68,766.08,905.94,748.71,876.27,960.3,680.43,1020.74,872.35,826.59,419.66,707.77,890.46,1019.94,875.02,1168.86,923.55,753.07,1263.02,1333.99,1220.49,731.25,487.76,691.91,705.2,799.2,682.24,777.74,814.03,665.17,1021.01,970.52,936.86,659.24,309.68,498.44,664.25,853.71,621.18,759.9,778.26,692.61,731.76,795.26,672.64,243.54,410.11,778.6,941.64,740.61,811.96,952.41,1010.32,1000.9,965.79,760.16,327.32,598.85,807.22,849.02,797.01,840.05,881.27,624.35,999.47,881.34,380.83,664.81,939.16,595.96,1237.6,1042.19,867.47,810.4,605.33,634.52,748.68,661.5,287.43,541.03
"06/2010",694.63,852.53,649.74,777.47,842.96,636.01,755.06,883.43,689.92,279.13,479.58,887.84,1074.47,854.57,967.93,1037.57,804.44,1332.97,1107.52,1139.55,840.01,380.16,614.54,754.72,899.64,735.69,875.46,944.27,654.13,993.27,865.19,820.75,424.11,673.88,875.98,1011.78,858.14,1167.66,913.24,736.58,1239.09,1293.89,1172.17,733.2,472.08,689.48,696.63,784.4,675.11,784.06,795.42,679.76,1009.14,957.9,903.47,649.17,304.71,501.72,652.41,863.66,603.19,842.52,739.17,675.86,703.49,769.3,649.53,236.06,403.79,760,938.32,718.99,834,948.04,1032.09,982.91,961.12,748.17,322.2,593.06,782.6,843.41,767.87,826.21,876.17,607.24,947.86,887.44,392.66,660,949.31,587.66,1228.03,1058.69,908.52,808.09,611.25,629.64,720.51,659.3,291.56,522.24
"07/2010",697.03,864.56,647.49,774.79,851.19,630.36,755.3,889.75,690.08,283.1,488.13,890.89,1079.01,857.22,999.54,1032.96,803.06,1343.16,1117.13,1149.85,842.16,382.13,622.03,754.37,880.77,737.41,856.8,928.39,657.69,989.19,875.96,816.78,413.3,678.16,881.14,1025.67,863.18,1186.64,914.93,742.93,1251.75,1277.7,1183.55,746.53,472.61,666.3,697.35,792.23,675.11,780.47,808.24,676.26,1004.78,964.23,893.77,653.88,305.1,502.64,665.66,894.74,611.36,891.19,748.42,676.65,697.81,778.13,664.19,240.8,389.14,768.57,958.67,725.58,834.72,941.29,1039.37,982.89,961.22,746.98,323.04,589.93,794.32,855.41,778.68,844.89,886.4,618.42,967.15,888.43,380.29,661.28,937.3,592.03,1177.54,1032.62,904.4,812.82,602.78,630.76,713.7,670.89,294.21,521.32
"08/2010",698.64,861.73,651.65,783.98,847.9,633.55,758.96,897.55,691.25,278.99,494.71,916.28,1106.82,881.49,1029.03,1064.98,813.87,1357.9,1154.43,1196.45,865.12,396.2,650.76,757.21,871.22,743.42,842.96,920.61,662.4,1007.64,876,824.38,409.54,688.15,892.68,1046.06,874.28,1227.64,918.81,737.41,1298.58,1303.5,1220.95,745.19,473.55,690.2,706.56,798.4,684.58,782.1,815.68,676.72,1004.85,987.85,924.73,656.98,310.42,507.96,688.48,892.98,638.6,872.78,758.91,691.88,750.38,808.15,696.15,248.63,423.65,788.55,977.83,743.73,851.57,961.47,1041.42,1009.17,994.9,757.97,327.6,611.09,790.31,874.94,771.32,851.57,910.19,619.51,920.85,892.45,382.59,664.93,950.56,592.7,1213.46,1063.73,929.88,800.46,613.05,648.36,728.18,658.01,297.72,522.1
"09/2010",693.7,864.7,644.54,780.86,845.02,631.09,750.93,893.28,689.5,275.87,493.47,888.6,1075.88,856.23,984.72,1050.28,795.42,1334.06,1088.42,1140.83,860.16,381.84,620.88,750.7,859.56,737.19,823.68,916.18,668.1,966.22,874.69,818.5,392.24,664.82,881.96,1022.58,861.72,1191,908.7,736.76,1321.76,1252.3,1184.51,747.49,473.16,701.4,697.68,783.66,676.01,769.88,798.71,668.92,1002.53,964.5,916.3,642.96,304.13,494.62,685.31,896.07,634.84,892.32,771.44,685.03,710.24,765.26,708.5,236.53,409.88,765.05,941.83,723.43,837.37,953.9,1001.52,994.72,972.04,750.69,318.7,600.94,791,868.14,771.73,857.81,894.22,615.78,936.77,888.78,386.28,659.65,938.31,588.74,1203.2,1053.22,923.29,780.81,607.52,620.37,716.5,658.22,288.7,515.13
"10/2010",696.96,870.87,648.05,788.38,849.96,633.55,751.3,895.71,691.82,278.75,491.83,898.88,1103.03,861.47,1012.79,1074.04,796.79,1345.04,1097.1,1159.18,855.71,381.06,625.89,763.14,876.18,750.56,847.84,917.46,675.44,973.73,894.92,825.2,383.92,663.04,888.76,1043.74,871.67,1215.49,926.28,738.22,1312.28,1285.89,1204.28,746.54,486.97,696.87,703.14,785.11,683.43,778.44,796.63,677.59,1035.96,991.46,913.88,647.29,301.74,498.55,684.84,905.18,631.01,924.18,780.9,682.42,699.9,782,712,229.78,398.27,773.98,967.26,730.8,867.45,956.36,1014.1,979.33,997.08,748.68,326.09,606.82,796.61,875.45,779.88,861.21,880.53,610.03,970.73,920.5,394.57,657.99,933.59,587.78,1204.91,1048.98,915.6,776.22,599.33,621,712.97,652.74,290.13,508.1
"11/2010",699.07,873.83,650.75,784.4,853.26,629.63,752.04,896.45,694.4,280.64,489.84,899.37,1113.95,862.92,1006.3,1076.01,787.1,1360.86,1093.96,1161.02,863.47,383.58,629.55,758.56,878.39,745.36,862.07,926.24,668.66,965.12,893.71,816.9,382.53,663.64,894.44,1051.79,875.69,1228.29,929.2,738.99,1322.94,1286.53,1205.33,759.99,493.08,700.43,702.1,790.77,680.13,769.36,806.55,671.77,1038.94,988.47,902.2,650.2,300.83,497.66,688.93,868.41,645.58,881.69,736.12,665.99,704.11,788.1,771.46,231.42,387.96,773.28,950.98,732.17,841.19,964.35,1020.41,971.67,990.36,744.77,326.03,605.96,779.62,865.03,759,868.4,866.79,591.51,976.38,890.27,385.19,657.54,935.24,585.65,1199.44,1045.47,903.99,789.36,584.99,622.56,716.99,656.35,288.1,503.39
"01/2011",694.96,868.62,646.62,778.74,840.91,629.63,748.75,890.84,691.47,283.54,489.44,929.36,1112.28,896.38,957.37,1074.68,796.95,1444.85,1158.41,1232.5,885.02,396.34,689,766.76,885.71,752.1,875.32,899.76,661.52,968.25,927.04,831.67,393.25,684.99,906.83,1010.02,893.78,1164.48,920.01,747.66,1399.05,1326.82,1239.38,767.59,464.56,704.49,704.73,790.27,684.13,762.43,826.2,678.95,1027.8,979.51,927.62,640.32,282.12,492.54,692.22,831.84,659.66,781.19,754.13,689.19,722.76,826.24,792.75,239.89,402.6,807.76,978.37,769.6,851.04,968.92,1021.73,984.36,992.26,758.09,333.04,626.4,794.64,854.66,781.2,827.03,878.59,610.03,1013.04,901.71,367.32,657.02,930.65,591.51,1250.62,1070.81,861.73,764.06,581.5,625.45,729.27,666.11,288.29,506.38
"02/2011",698.25,863.75,652.18,784.4,849.54,633.55,745.6,895.48,695.76,283.55,492.18,922.75,1086.98,893.77,906.87,1047.42,788.8,1463.29,1122.12,1242.72,880.99,399,662.76,761.02,888.66,745.36,867.63,914.55,673.3,949.39,910.8,809.9,400.03,667.64,891.31,1017.98,874.82,1181.65,927.48,743.94,1344.01,1274.78,1204.35,758.01,468.93,703.18,707.58,788.8,688.38,773.68,815.27,686.94,1046.88,998.29,916.61,644.06,296.14,500.41,694.32,847.88,660.16,816.67,748.06,682.59,738.72,853.92,788.84,236.04,408.43,794.2,965.02,753.93,842.9,955.51,1020.04,971.76,982.11,748.68,334.6,611.41,775.19,836.96,762.13,814.2,877.11,597.87,974.34,887.57,370.47,647.71,910.78,583.32,1221.97,1040.5,832.72,755.35,573.94,621.92,735.69,672.97,292.95,506.76
"03/2011",694.4,865.51,645.55,788.72,845.42,632.91,745.28,899.62,681.25,281.43,497.76,925.47,1089.55,895.77,920.12,1056.83,835.94,1466.04,1092.06,1222.86,875.69,393.62,657.83,752.19,889.94,736.29,876.9,902.85,653.56,949.81,900.73,807.36,402.52,661.73,890.69,1039.87,874.82,1211.75,938.11,749.36,1334.83,1271.85,1194.34,760.3,466.83,700.26,701.1,785.57,679.29,777.75,805.1,671.81,1026.12,970.17,902.97,656.88,298.89,492.58,686.5,849.76,648.9,797.47,758.1,689.1,691.95,846.56,761.48,232.05,399.54,801.53,982.52,759.5,853.51,947.78,1002.43,975.43,985.4,746.93,341.24,653.2,773.56,830.96,761.4,785.51,882.36,614.99,972.27,880.02,362.44,646.72,901.74,583.11,1221.75,1032.78,826.85,738.91,584.67,623.88,736.3,665.04,285.16,497.65
"04/2011",699.4,847.99,656.6,764.61,835.07,644.59,764.28,909.75,691.78,282.76,518.5,920.36,1094.94,888.78,939.98,1066.65,834.16,1464.64,1089,1232.28,837.54,391.14,668.87,755.39,903.85,737.33,897.28,909.01,653.48,949.42,912.54,809.1,392.73,648.54,896.24,1047.99,877.42,1195.88,952.41,753.23,1353.21,1277.11,1195.86,764.27,469.83,710.68,711.05,801.17,689.14,806.31,813.19,687.96,1036.07,968.66,921.68,660.21,303.8,501.53,706.69,877.82,665.43,851.14,773.42,723.2,684.63,821.45,767.85,243.86,429.53,802.27,1000.48,756.28,859.14,976.28,983.15,975,974.55,742.36,330.89,651.46,781.2,844.69,766.4,811.7,887.57,615.6,1013.5,870.09,353.54,656.52,913.48,593.18,1208.89,1051.79,891.62,731.58,597.55,635.47,741.1,666.9,279.84,490.14
"05/2011",712.1,873.18,666.59,830.94,838.85,675.43,800.92,909.38,691.12,282.74,551.9,945.17,1104.58,918.31,959.62,1077.46,834.85,1524.85,1137.49,1286.33,876.46,405.01,690.37,752.5,901.6,734.78,883.38,921.59,640.5,981,923.05,802.47,380.3,668.45,908.01,1058.85,889.39,1194.34,971.96,759.69,1384.47,1306.99,1223.42,769.56,476.03,721.93,718.64,809.17,698.39,804.94,824.14,683.4,1062.83,975.93,958.82,665.45,306.92,523.76,725.65,905.2,680.7,908.22,781.61,742.69,694.98,897.25,767.58,252.22,442.5,814.74,985.82,776.08,857.95,990.23,976.51,1014.75,998.4,754.28,340.42,683.9,790.55,847.53,777.69,839.45,877.76,615.49,1050.52,858.69,371.67,664.44,931.06,597.84,1198.45,1065,934.86,748.99,601.08,643.26,755.6,667.02,284.35,488.87
"06/2011",704.63,875.06,657.65,832.58,845.7,656.04,767.08,879.15,703.02,286.45,560.9,909.11,1090.37,875.48,972.24,1058.6,808.06,1438.93,1086.97,1229.93,813.33,390.08,673.46,741.19,900.08,721.14,884.82,914.93,624.88,952.39,909.43,797.6,364.15,646.13,892.96,1055.73,872.59,1194.51,968.33,753.49,1362.85,1287.86,1180.9,769.16,448.44,699.71,706.58,807.61,684.09,792.33,825.29,677.21,1041.35,937.07,927.74,660.74,305.83,503.98,726.18,910.22,677.23,947.63,769.3,740.06,700.96,868.85,758.32,253.8,448.66,800.03,982.38,757.86,879.32,979.96,943.9,955.12,970.79,741.39,334.67,672.52,768.36,831.23,752.73,810.54,864.43,609.31,1033.56,854.74,368.94,661.5,920.4,593.62,1162.24,1052.77,941.41,741.38,596.66,622.18,744.86,671.35,283.8,487.94
"07/2011",710.34,882.76,661.73,842.3,848.72,671.15,763.67,874,709.72,285.36,556.66,921.98,1099.47,889.76,981.93,1048.38,805.84,1476.44,1090.36,1233.52,873.82,391.29,671.52,740.5,888.73,722.92,862.69,916.48,615.19,950.79,910.4,806.09,368.13,644.67,901.97,1077.96,879.14,1215.36,990,752.38,1364.24,1283.94,1182.65,788.77,451.53,691.54,712.41,804.76,690.69,797.54,818.9,678.04,1096.27,960.81,936.16,662.03,310.96,514.89,734.9,922.8,685.58,1002.93,773.23,750.75,700.83,888.52,763.84,260.96,452.58,801.54,980.09,760.27,856.29,986.58,930.62,953.05,962.64,760.24,334.17,674.94,771.89,853.08,753.03,835.88,881.27,615.22,1037.7,850.74,385,658.09,916.02,590.84,1111.44,1033.62,961.99,754.3,605.91,634.68,739.26,679.95,287.97,482.97
"08/2011",718.76,903.52,666.4,842.62,863.96,668.46,770.96,870,714,287.8,569.08,916.07,1107.21,882,1015.61,1052.57,795.02,1481.93,1090.45,1223.56,851.84,392.76,676.98,733.47,892.58,714.61,864.8,923.05,601.87,914.69,912.87,799.65,362.11,648.6,895.23,1072.47,872.49,1201.43,991.42,752.1,1354.12,1283.66,1170.2,778.02,454.46,685.34,710.33,797.57,689.91,783.17,812.03,671.93,1069.09,975.2,932.59,663.51,315.72,517.39,755.74,981.36,694.64,1111.94,797.59,750.82,723.54,908.05,769.9,271.74,477.74,802.26,984.53,760.32,883.32,970.75,920.19,945.26,954.41,751.63,334.67,725.31,768.27,849.2,748.44,842.59,875.9,608.16,1036.06,843.35,388.61,654.12,919.65,585.42,1163.76,1057.25,952.38,727.42,597.2,637.23,749.87,668.56,285.63,486.41
"09/2011",723.75,925.03,668.17,850.64,871.5,673.66,768.77,869.25,719.41,281.15,551.16,918.9,1103.86,885.74,1013.15,1056.87,792.05,1496.24,1109.89,1224.87,868.89,384.54,669.19,738.22,901.28,718.48,860.92,946.05,612.23,926.28,913.31,809.53,356.69,630.17,908.35,1079.48,887.04,1210.36,998.98,771.94,1372.7,1306.6,1182.16,782.18,465.61,700.48,721.28,808.74,701.1,781.95,827.43,684.52,1100.36,995.76,936.33,676.67,313.24,528.97,751.76,1016.5,678.13,1127.52,823.77,694.32,729.64,953.43,758.67,260.63,466.96,805.2,990.87,761.73,892.64,977.92,898.38,949.95,960.39,760.38,328.16,727.56,777.33,878.67,753.41,887.4,891.65,610.22,1036.85,854.04,374.45,661.21,915.08,595.61,1140.36,1031.66,924.34,750.8,622.29,653.26,752.56,670.32,277.46,476.37
"10/2011",729.35,905.28,679.55,832.46,863.97,673.91,814.21,874.13,727.62,289.89,565.28,945,1115.91,915.47,1026.39,1077.17,807.76,1566.39,1157.1,1273.54,894.79,397.04,692.1,749.17,903.85,731.79,865.69,947.07,611.78,964.93,941.65,820.07,369.6,632.96,923.36,1089.98,904.83,1219.62,1010.52,769.04,1411.65,1357.2,1222.98,792.78,480.87,697.65,739.4,818.4,722.44,797.34,834.36,696,1151.78,1044.81,964.95,696.28,325.34,523.41,770.88,1020.18,699.13,1086.91,856.54,734.71,728.34,985.08,765.9,267.13,475.53,831.03,1010.45,788.04,902.72,997.4,917.44,1011.72,991.73,773.31,339.38,768.6,788.99,869.38,769.91,860.08,890.06,613.87,1068.34,857.22,395.82,659.79,935.66,589.24,1166.44,1055.46,948.42,762.47,602.27,679.18,781.88,659.1,282.75,496.12
"11/2011",712.71,896.67,661.19,821.79,853.48,649.87,765.95,836.35,712.43,287.55,571.17,916.27,1097.86,885.77,999.25,1074.08,777.12,1571.55,1105.4,1216.8,886.71,379.86,651.86,738.99,896.86,719.94,856.25,942.87,607.61,939.8,920.86,808.86,371.46,630.19,911.15,1113.96,886.75,1245.49,1031.81,755.93,1405.29,1308.48,1184.4,784.68,476.58,705.01,729.22,822.85,708.51,807.95,834.36,679.55,1134.42,1011.49,939.98,689.72,319.02,530.56,751.17,982.14,687.15,1036.46,837.98,721.52,695.57,969.41,762.86,264.55,450.82,819.55,1014.52,773.55,913.07,1008.22,871.72,974.36,968.24,758.69,334.62,737.74,778.08,862.71,756.65,864.96,885.48,606.21,1067.64,853.98,369.98,661.65,946.39,588.6,1167.76,1076.94,989.01,756.74,593.37,650.77,777.75,671.77,277.7,495.79
